,specs,mp,mr,mt
0,"['y_45m', True, 0, 0.01, 'l1']",0.04963805584281282,1.0,0.01016147423285181
1,"['y_45m', True, 0, 0.01, 'l2']",0.0511727078891258,1.0,0.013275494311860774
2,"['y_45m', True, 0, 0.1, 'l1']",0.05100956429330499,1.0,0.006691078253435959
3,"['y_45m', True, 0, 0.1, 'l2']",0.05100956429330499,1.0,0.005781953916370272
4,"['y_45m', True, 0, 1, 'l1']",0.05100956429330499,1.0,0.0070921978312324906
5,"['y_45m', True, 0, 1, 'l2']",0.05100956429330499,1.0,0.006474471271807686
6,"['y_45m', True, 0, 10, 'l1']",0.050955414012738856,1.0,0.005680908780977194
7,"['y_45m', True, 0, 10, 'l2']",0.050955414012738856,1.0,0.005916938303632173
8,"['y_45m', True, 0, 100, 'l1']",0.05090137857900318,1.0,0.005311559492649237
9,"['y_45m', True, 0, 100, 'l2']",0.051031487513572206,0.9791666666666666,0.010527938057727814
10,"['y_45m', True, 0, 1000, 'l1']",0.05090137857900318,1.0,0.005276453789243452
11,"['y_45m', True, 0, 1000, 'l2']",0.05119825708061002,0.9791666666666666,0.009618776772595388
12,"['y_45m', True, 1, 0.01, 'l1']",0.04933196300102775,1.0,0.0036362519440766177
13,"['y_45m', True, 1, 0.01, 'l2']",0.049484536082474224,1.0,0.015024198868912677
14,"['y_45m', True, 1, 0.1, 'l1']",0.049029622063329927,1.0,0.009951754417464579
15,"['y_45m', True, 1, 0.1, 'l2']",0.049029622063329927,1.0,0.010967328773940119
16,"['y_45m', True, 1, 1, 'l1']",0.04897959183673469,1.0,0.011747705185392605
17,"['y_45m', True, 1, 1, 'l2']",0.04897959183673469,1.0,0.011931883131722663
18,"['y_45m', True, 1, 10, 'l1']",0.048830111902339775,1.0,0.011343640691356741
19,"['y_45m', True, 1, 10, 'l2']",0.048830111902339775,1.0,0.011750260425702465
20,"['y_45m', True, 1, 100, 'l1']",0.048830111902339775,1.0,0.011234040946900349
21,"['y_45m', True, 1, 100, 'l2']",0.048830111902339775,1.0,0.011210127032150536
22,"['y_45m', True, 1, 1000, 'l1']",0.048830111902339775,1.0,0.011333344369530733
23,"['y_45m', True, 1, 1000, 'l2']",0.048830111902339775,1.0,0.011028415743775602
24,"['y_45m', True, 10, 0.01, 'l1']",0.048879837067209775,1.0,0.007475662105390123
25,"['y_45m', True, 10, 0.01, 'l2']",0.049079754601226995,1.0,0.010746188054740202
26,"['y_45m', True, 10, 0.1, 'l1']",0.049029622063329927,1.0,0.008943244390669517
27,"['y_45m', True, 10, 0.1, 'l2']",0.049029622063329927,1.0,0.009668926288625599
28,"['y_45m', True, 10, 1, 'l1']",0.049079754601226995,1.0,0.009823570309501662
29,"['y_45m', True, 10, 1, 'l2']",0.049079754601226995,1.0,0.010007751628114894
30,"['y_45m', True, 10, 10, 'l1']",0.04912998976458546,1.0,0.010397886390274615
31,"['y_45m', True, 10, 10, 'l2']",0.049079754601226995,1.0,0.010312015787912488
32,"['y_45m', True, 10, 100, 'l1']",0.04912998976458546,1.0,0.010395842158350035
33,"['y_45m', True, 10, 100, 'l2']",0.04897959183673469,1.0,0.010266166591179224
34,"['y_45m', True, 10, 1000, 'l1']",0.04912998976458546,1.0,0.01046927283236202
35,"['y_45m', True, 10, 1000, 'l2']",0.04897959183673469,1.0,0.010204686784678478
36,"['y_45m', False, 0, 0.01, 'l1']",0.04933196300102775,1.0,0.015326984334856075
37,"['y_45m', False, 0, 0.01, 'l2']",0.049281314168377825,1.0,0.023110791226482776
38,"['y_45m', False, 0, 0.1, 'l1']",0.04897959183673469,1.0,0.0014694235455092225
39,"['y_45m', False, 0, 0.1, 'l2']",0.04897959183673469,1.0,0.0019228279988049504
40,"['y_45m', False, 0, 1, 'l1']",0.04897959183673469,1.0,0.0008043983296987068
41,"['y_45m', False, 0, 1, 'l2']",0.049029622063329927,1.0,0.0008650889153253387
42,"['y_45m', False, 0, 10, 'l1']",0.04912998976458546,1.0,0.0008872553988723705
43,"['y_45m', False, 0, 10, 'l2']",0.04912998976458546,1.0,0.0008689649069120658
44,"['y_45m', False, 0, 100, 'l1']",0.04912998976458546,1.0,0.0008967257265225707
45,"['y_45m', False, 0, 100, 'l2']",0.04912998976458546,1.0,0.0008962148530571758
46,"['y_45m', False, 0, 1000, 'l1']",0.04912998976458546,1.0,0.0008978231911082388
47,"['y_45m', False, 0, 1000, 'l2']",0.04912998976458546,1.0,0.0008993362185404428
48,"['y_45m', False, 1, 0.01, 'l1']",0.04933196300102775,1.0,0.0029648694902195973
49,"['y_45m', False, 1, 0.01, 'l2']",0.049740932642487044,1.0,0.009841602389594183
50,"['y_45m', False, 1, 0.1, 'l1']",0.049740932642487044,1.0,0.0006866161617273072
51,"['y_45m', False, 1, 0.1, 'l2']",0.049740932642487044,1.0,0.0010949322287017735
52,"['y_45m', False, 1, 1, 'l1']",0.049740932642487044,1.0,0.0005543294239054642
53,"['y_45m', False, 1, 1, 'l2']",0.049740932642487044,1.0,0.0005825721006383153
54,"['y_45m', False, 1, 10, 'l1']",0.049740932642487044,1.0,0.0005336942031294535
55,"['y_45m', False, 1, 10, 'l2']",0.049740932642487044,1.0,0.0005316553816269659
56,"['y_45m', False, 1, 100, 'l1']",0.049740932642487044,1.0,0.0005270846070016361
57,"['y_45m', False, 1, 100, 'l2']",0.049740932642487044,1.0,0.0005259272738362337
58,"['y_45m', False, 1, 1000, 'l1']",0.049740932642487044,1.0,0.0005265908870291313
59,"['y_45m', False, 1, 1000, 'l2']",0.049740932642487044,1.0,0.0005253417108765922
60,"['y_45m', False, 10, 0.01, 'l1']",0.04912998976458546,1.0,0.0001567885412056539
61,"['y_45m', False, 10, 0.01, 'l2']",0.04912998976458546,1.0,0.00047882945156900187
62,"['y_45m', False, 10, 0.1, 'l1']",0.04912998976458546,1.0,7.52221776621973e-05
63,"['y_45m', False, 10, 0.1, 'l2']",0.04912998976458546,1.0,9.010398502442441e-05
64,"['y_45m', False, 10, 1, 'l1']",0.04912998976458546,1.0,6.514671150048405e-05
65,"['y_45m', False, 10, 1, 'l2']",0.04912998976458546,1.0,6.59092451405733e-05
66,"['y_45m', False, 10, 10, 'l1']",0.04912998976458546,1.0,6.327044551763714e-05
67,"['y_45m', False, 10, 10, 'l2']",0.04912998976458546,1.0,6.324326894794648e-05
68,"['y_45m', False, 10, 100, 'l1']",0.04912998976458546,1.0,6.306893733725262e-05
69,"['y_45m', False, 10, 100, 'l2']",0.04912998976458546,1.0,6.296501905748411e-05
70,"['y_45m', False, 10, 1000, 'l1']",0.04912998976458546,1.0,6.304333597804206e-05
71,"['y_45m', False, 10, 1000, 'l2']",0.04912998976458546,1.0,6.293674565327461e-05
