,specs,mp,mr,mt
0,"['y_30m', True, 0, 0.01, 'l1']",0.047764227642276426,1.0,0.0049347274366931095
1,"['y_30m', True, 0, 0.01, 'l2']",0.050483351235230935,1.0,0.012453918103873042
2,"['y_30m', True, 0, 0.1, 'l1']",0.049214659685863874,1.0,0.002358654780352321
3,"['y_30m', True, 0, 0.1, 'l2']",0.05016008537886873,1.0,0.0035176912130805466
4,"['y_30m', True, 0, 1, 'l1']",0.05005324813631523,1.0,0.0022507014826948636
5,"['y_30m', True, 0, 1, 'l2']",0.05005324813631523,1.0,0.0026247440541627177
6,"['y_30m', True, 0, 10, 'l1']",0.05,1.0,0.0021456387365132684
7,"['y_30m', True, 0, 10, 'l2']",0.05,1.0,0.0021930763712198044
8,"['y_30m', True, 0, 100, 'l1']",0.04984093319194061,1.0,0.002023338870788284
9,"['y_30m', True, 0, 100, 'l2']",0.04963041182682154,1.0,0.0018878123045979432
10,"['y_30m', True, 0, 1000, 'l1']",0.049893842887473464,1.0,0.00206322023648358
11,"['y_30m', True, 0, 1000, 'l2']",0.049578059071729956,1.0,0.0017584645323553486
12,"['y_30m', True, 1, 0.01, 'l1']",0.047619047619047616,1.0,0.0010216939824995645
13,"['y_30m', True, 1, 0.01, 'l2']",0.04766734279918864,1.0,0.00808916410519481
14,"['y_30m', True, 1, 0.1, 'l1']",0.047619047619047616,1.0,0.0030741576771442787
15,"['y_30m', True, 1, 0.1, 'l2']",0.04781281790437437,1.0,0.004740876229234957
16,"['y_30m', True, 1, 1, 'l1']",0.04781281790437437,1.0,0.0036145410261391436
17,"['y_30m', True, 1, 1, 'l2']",0.04786150712830957,1.0,0.003916034030643963
18,"['y_30m', True, 1, 10, 'l1']",0.04795918367346939,1.0,0.004123696556484342
19,"['y_30m', True, 1, 10, 'l2']",0.04795918367346939,1.0,0.004113396207239842
20,"['y_30m', True, 1, 100, 'l1']",0.04795918367346939,1.0,0.004250069936121524
21,"['y_30m', True, 1, 100, 'l2']",0.04795918367346939,1.0,0.004345043259502884
22,"['y_30m', True, 1, 1000, 'l1']",0.04795918367346939,1.0,0.004186074217857559
23,"['y_30m', True, 1, 1000, 'l2']",0.04795918367346939,1.0,0.0043638155607496005
24,"['y_30m', True, 10, 0.01, 'l1']",0.047715736040609136,1.0,0.00433896109438908
25,"['y_30m', True, 10, 0.01, 'l2']",0.048106448311156604,1.0,0.007038292477776752
26,"['y_30m', True, 10, 0.1, 'l1']",0.04766734279918864,1.0,0.003736158384216237
27,"['y_30m', True, 10, 0.1, 'l2']",0.047619047619047616,1.0,0.004427715327821048
28,"['y_30m', True, 10, 1, 'l1']",0.04766734279918864,1.0,0.004055576658729022
29,"['y_30m', True, 10, 1, 'l2']",0.047715736040609136,1.0,0.004222929761893129
30,"['y_30m', True, 10, 10, 'l1']",0.047764227642276426,1.0,0.004495710905793392
31,"['y_30m', True, 10, 10, 'l2']",0.04781281790437437,1.0,0.004581178047346742
32,"['y_30m', True, 10, 100, 'l1']",0.04781281790437437,1.0,0.004548089451926184
33,"['y_30m', True, 10, 100, 'l2']",0.04781281790437437,1.0,0.004624841523182886
34,"['y_30m', True, 10, 1000, 'l1']",0.04781281790437437,1.0,0.004564330878224492
35,"['y_30m', True, 10, 1000, 'l2']",0.04781281790437437,1.0,0.004632607252551452
36,"['y_30m', False, 0, 0.01, 'l1']",0.047764227642276426,1.0,0.00478304990928543
37,"['y_30m', False, 0, 0.01, 'l2']",0.04766734279918864,1.0,0.00892985244014693
38,"['y_30m', False, 0, 0.1, 'l1']",0.04766734279918864,1.0,7.860586672882921e-05
39,"['y_30m', False, 0, 0.1, 'l2']",0.04766734279918864,1.0,0.0001937006501912104
40,"['y_30m', False, 0, 1, 'l1']",0.04766734279918864,1.0,2.2341716689113558e-05
41,"['y_30m', False, 0, 1, 'l2']",0.04766734279918864,1.0,2.8109054429435905e-05
42,"['y_30m', False, 0, 10, 'l1']",0.04766734279918864,1.0,1.7478182186966245e-05
43,"['y_30m', False, 0, 10, 'l2']",0.04766734279918864,1.0,1.8481106128200823e-05
44,"['y_30m', False, 0, 100, 'l1']",0.04766734279918864,1.0,1.6934256271806474e-05
45,"['y_30m', False, 0, 100, 'l2']",0.04766734279918864,1.0,1.6974095952898385e-05
46,"['y_30m', False, 0, 1000, 'l1']",0.04766734279918864,1.0,1.689039069440238e-05
47,"['y_30m', False, 0, 1000, 'l2']",0.04766734279918864,1.0,1.6771156808796216e-05
48,"['y_30m', False, 1, 0.01, 'l1']",0.047715736040609136,1.0,0.0004324363310305505
49,"['y_30m', False, 1, 0.01, 'l2']",0.047715736040609136,1.0,0.0018666722022062812
50,"['y_30m', False, 1, 0.1, 'l1']",0.047764227642276426,1.0,9.82003408015729e-06
51,"['y_30m', False, 1, 0.1, 'l2']",0.047764227642276426,1.0,3.186498923055481e-05
52,"['y_30m', False, 1, 1, 'l1']",0.047764227642276426,1.0,5.151335348152377e-06
53,"['y_30m', False, 1, 1, 'l2']",0.047764227642276426,1.0,6.080992124962587e-06
54,"['y_30m', False, 1, 10, 'l1']",0.047764227642276426,1.0,4.719692694071839e-06
55,"['y_30m', False, 1, 10, 'l2']",0.047764227642276426,1.0,4.778330714125118e-06
56,"['y_30m', False, 1, 100, 'l1']",0.047764227642276426,1.0,4.6602243150103915e-06
57,"['y_30m', False, 1, 100, 'l2']",0.047764227642276426,1.0,4.654975065841504e-06
58,"['y_30m', False, 1, 1000, 'l1']",0.047764227642276426,1.0,4.656136414429184e-06
59,"['y_30m', False, 1, 1000, 'l2']",0.047764227642276426,1.0,4.6428528002000335e-06
60,"['y_30m', False, 10, 0.01, 'l1']",0.047715736040609136,1.0,8.071797894712492e-06
61,"['y_30m', False, 10, 0.01, 'l2']",0.047619047619047616,1.0,7.725822278768035e-05
62,"['y_30m', False, 10, 0.1, 'l1']",0.04766734279918864,1.0,1.3357174867143794e-06
63,"['y_30m', False, 10, 0.1, 'l2']",0.04766734279918864,1.0,2.4270560894781047e-06
64,"['y_30m', False, 10, 1, 'l1']",0.047619047619047616,1.0,1.0275722241251675e-06
65,"['y_30m', False, 10, 1, 'l2']",0.04757085020242915,1.0,1.0889061747032887e-06
66,"['y_30m', False, 10, 10, 'l1']",0.04757085020242915,1.0,9.768273743082561e-07
67,"['y_30m', False, 10, 10, 'l2']",0.04757085020242915,1.0,9.801915499063408e-07
68,"['y_30m', False, 10, 100, 'l1']",0.04757085020242915,1.0,9.720398736232493e-07
69,"['y_30m', False, 10, 100, 'l2']",0.04757085020242915,1.0,9.694444563928917e-07
70,"['y_30m', False, 10, 1000, 'l1']",0.04757085020242915,1.0,9.71483156424266e-07
71,"['y_30m', False, 10, 1000, 'l2']",0.04757085020242915,1.0,9.683690155591189e-07
