,specs,mp,mr,mt
0,"['y_120m', True, 0, 0.01, 'l1']",0.04903078677309008,1.0,0.06069576600880235
1,"['y_120m', True, 0, 0.01, 'l2']",0.050058207217694994,1.0,0.1302250856133575
2,"['y_120m', True, 0, 0.1, 'l1']",0.05204460966542751,0.9767441860465116,0.3085236544701734
3,"['y_120m', True, 0, 0.1, 'l2']",0.051533742331288344,0.9767441860465116,0.28098356866442464
4,"['y_120m', True, 0, 1, 'l1']",0.05174488567990373,1.0,0.3034661834674695
5,"['y_120m', True, 0, 1, 'l2']",0.05174488567990373,1.0,0.29886345618239096
6,"['y_120m', True, 0, 10, 'l1']",0.05186972255729795,1.0,0.3167335845642746
7,"['y_120m', True, 0, 10, 'l2']",0.051807228915662654,1.0,0.31206115237329857
8,"['y_120m', True, 0, 100, 'l1']",0.051807228915662654,1.0,0.30827399365175756
9,"['y_120m', True, 0, 100, 'l2']",0.05174488567990373,1.0,0.29834182847161345
10,"['y_120m', True, 0, 1000, 'l1']",0.051807228915662654,1.0,0.3081394981237243
11,"['y_120m', True, 0, 1000, 'l2']",0.05174488567990373,1.0,0.2939707997700731
12,"['y_120m', True, 1, 0.01, 'l1']",0.04569606801275239,1.0,0.05752322599498526
13,"['y_120m', True, 1, 0.01, 'l2']",0.049653579676674366,1.0,0.1418689851547989
14,"['y_120m', True, 1, 0.1, 'l1']",0.05361596009975062,1.0,0.22642425317665937
15,"['y_120m', True, 1, 0.1, 'l2']",0.053482587064676616,1.0,0.23677188851581374
16,"['y_120m', True, 1, 1, 'l1']",0.053952321204516936,1.0,0.26233722315157265
17,"['y_120m', True, 1, 1, 'l2']",0.054292929292929296,1.0,0.2682108298803479
18,"['y_120m', True, 1, 10, 'l1']",0.05289052890528905,1.0,0.26990187430679446
19,"['y_120m', True, 1, 10, 'l2']",0.05328376703841388,1.0,0.2741173549570015
20,"['y_120m', True, 1, 100, 'l1']",0.05289052890528905,1.0,0.27063204498817484
21,"['y_120m', True, 1, 100, 'l2']",0.052503052503052504,1.0,0.2656048416216704
22,"['y_120m', True, 1, 1000, 'l1']",0.05289052890528905,1.0,0.2711212067370007
23,"['y_120m', True, 1, 1000, 'l2']",0.05224787363304982,1.0,0.2643217528085492
24,"['y_120m', True, 10, 0.01, 'l1']",0.045989304812834225,1.0,0.05582990656766971
25,"['y_120m', True, 10, 0.01, 'l2']",0.04826038159371493,1.0,0.0791536414928839
26,"['y_120m', True, 10, 0.1, 'l1']",0.04935370152761457,0.9767441860465116,0.1033809106244941
27,"['y_120m', True, 10, 0.1, 'l2']",0.048919226393629126,1.0,0.09746350950987769
28,"['y_120m', True, 10, 1, 'l1']",0.048863636363636366,1.0,0.11051881470487089
29,"['y_120m', True, 10, 1, 'l2']",0.048752834467120185,1.0,0.1062035851117563
30,"['y_120m', True, 10, 10, 'l1']",0.0489749430523918,1.0,0.11636622459009663
31,"['y_120m', True, 10, 10, 'l2']",0.0489749430523918,1.0,0.11818021364741636
32,"['y_120m', True, 10, 100, 'l1']",0.0489749430523918,1.0,0.11869857381959893
33,"['y_120m', True, 10, 100, 'l2']",0.04908675799086758,1.0,0.12129354529223567
34,"['y_120m', True, 10, 1000, 'l1']",0.0489749430523918,1.0,0.11819383077707757
35,"['y_120m', True, 10, 1000, 'l2']",0.04908675799086758,1.0,0.12163179288743514
36,"['y_120m', False, 0, 0.01, 'l1']",0.048044692737430165,1.0,0.1274449487990997
37,"['y_120m', False, 0, 0.01, 'l2']",0.04809843400447427,1.0,0.14595550696785306
38,"['y_120m', False, 0, 0.1, 'l1']",0.047830923248053395,1.0,0.09790279281893967
39,"['y_120m', False, 0, 0.1, 'l2']",0.04788418708240535,1.0,0.10193819459495067
40,"['y_120m', False, 0, 1, 'l1']",0.04756637168141593,1.0,0.09459175475448188
41,"['y_120m', False, 0, 1, 'l2']",0.04767184035476718,1.0,0.09632046486123946
42,"['y_120m', False, 0, 10, 'l1']",0.047619047619047616,1.0,0.09720973213548026
43,"['y_120m', False, 0, 10, 'l2']",0.04767184035476718,1.0,0.09744273743731084
44,"['y_120m', False, 0, 100, 'l1']",0.04767184035476718,1.0,0.09777847171036107
45,"['y_120m', False, 0, 100, 'l2']",0.04767184035476718,1.0,0.09786100215651164
46,"['y_120m', False, 0, 1000, 'l1']",0.04767184035476718,1.0,0.09784264450676725
47,"['y_120m', False, 0, 1000, 'l2']",0.04767184035476718,1.0,0.09791071563270877
48,"['y_120m', False, 1, 0.01, 'l1']",0.046236559139784944,1.0,0.09357681433700887
49,"['y_120m', False, 1, 0.01, 'l2']",0.04633620689655173,1.0,0.1170537398296827
50,"['y_120m', False, 1, 0.1, 'l1']",0.04628632938643703,1.0,0.09862041133152727
51,"['y_120m', False, 1, 0.1, 'l2']",0.04638619201725998,1.0,0.10761321600415062
52,"['y_120m', False, 1, 1, 'l1']",0.04643628509719223,1.0,0.1059777455879537
53,"['y_120m', False, 1, 1, 'l2']",0.04638619201725998,1.0,0.1058832383735063
54,"['y_120m', False, 1, 10, 'l1']",0.04638619201725998,1.0,0.10557608016374526
55,"['y_120m', False, 1, 10, 'l2']",0.04638619201725998,1.0,0.10509687373950465
56,"['y_120m', False, 1, 100, 'l1']",0.04638619201725998,1.0,0.10512112111413462
57,"['y_120m', False, 1, 100, 'l2']",0.04638619201725998,1.0,0.10497392917604749
58,"['y_120m', False, 1, 1000, 'l1']",0.04638619201725998,1.0,0.1050857279328751
59,"['y_120m', False, 1, 1000, 'l2']",0.04638619201725998,1.0,0.10496094833661768
60,"['y_120m', False, 10, 0.01, 'l1']",0.04589114194236926,1.0,0.02617347848890815
61,"['y_120m', False, 10, 0.01, 'l2']",0.046038543897216275,1.0,0.02864811792942462
62,"['y_120m', False, 10, 0.1, 'l1']",0.046038543897216275,1.0,0.02481497359366665
63,"['y_120m', False, 10, 0.1, 'l2']",0.045989304812834225,1.0,0.024846262768116276
64,"['y_120m', False, 10, 1, 'l1']",0.045989304812834225,1.0,0.023904786647058574
65,"['y_120m', False, 10, 1, 'l2']",0.045989304812834225,1.0,0.023811946383462457
66,"['y_120m', False, 10, 10, 'l1']",0.045940170940170943,1.0,0.02363770597876419
67,"['y_120m', False, 10, 10, 'l2']",0.045940170940170943,1.0,0.023611339001015672
68,"['y_120m', False, 10, 100, 'l1']",0.045940170940170943,1.0,0.023622599188514795
69,"['y_120m', False, 10, 100, 'l2']",0.045940170940170943,1.0,0.023591163404591397
70,"['y_120m', False, 10, 1000, 'l1']",0.045940170940170943,1.0,0.02361571696466453
71,"['y_120m', False, 10, 1000, 'l2']",0.045940170940170943,1.0,0.023588883315131332
