,specs,mp,mr,mt
0,"['y_10m', True, 0, 0.01, 'l1']",0.0473313192346425,1.0,0.0040941006110621165
1,"['y_10m', True, 0, 0.01, 'l2']",0.05203619909502263,0.9787234042553191,0.011625206443991804
2,"['y_10m', True, 0, 0.1, 'l1']",0.051194539249146756,0.9574468085106383,0.0009706264026256552
3,"['y_10m', True, 0, 0.1, 'l2']",0.05116796440489433,0.9787234042553191,0.0012823394384583672
4,"['y_10m', True, 0, 1, 'l1']",0.04978813559322034,1.0,4.4871967326802e-05
5,"['y_10m', True, 0, 1, 'l2']",0.05021834061135371,0.9787234042553191,0.0003210821218110339
6,"['y_10m', True, 0, 10, 'l1']",0.049060542797494784,1.0,1.4073371763463693e-05
7,"['y_10m', True, 0, 10, 'l2']",0.04942166140904311,1.0,3.470686547522164e-05
8,"['y_10m', True, 0, 100, 'l1']",0.04885654885654886,1.0,9.82907056750861e-06
9,"['y_10m', True, 0, 100, 'l2']",0.04895833333333333,1.0,1.1489362187649516e-05
10,"['y_10m', True, 0, 1000, 'l1']",0.04885654885654886,1.0,8.709294050912906e-06
11,"['y_10m', True, 0, 1000, 'l2']",0.04885654885654886,1.0,8.421781345196186e-06
12,"['y_10m', True, 1, 0.01, 'l1']",0.04704704704704705,1.0,0.002813610602790929
13,"['y_10m', True, 1, 0.01, 'l2']",0.048574445617740235,0.9787234042553191,0.006519720193569932
14,"['y_10m', True, 1, 0.1, 'l1']",0.04854368932038835,0.9574468085106383,0.0002283087566193342
15,"['y_10m', True, 1, 0.1, 'l2']",0.04988913525498891,0.9574468085106383,0.0010094436653677959
16,"['y_10m', True, 1, 1, 'l1']",0.04714142427281846,1.0,2.1358117619541807e-05
17,"['y_10m', True, 1, 1, 'l2']",0.04838709677419355,0.9574468085106383,0.00013809808287920788
18,"['y_10m', True, 1, 10, 'l1']",0.04742684157416751,1.0,7.709457305221005e-06
19,"['y_10m', True, 1, 10, 'l2']",0.04714142427281846,1.0,1.8253298291055426e-05
20,"['y_10m', True, 1, 100, 'l1']",0.04714142427281846,1.0,5.958152076352678e-06
21,"['y_10m', True, 1, 100, 'l2']",0.04723618090452261,1.0,1.1388316708803067e-05
22,"['y_10m', True, 1, 1000, 'l1']",0.04714142427281846,1.0,5.817346750642274e-06
23,"['y_10m', True, 1, 1000, 'l2']",0.047094188376753505,1.0,5.569904907790492e-06
24,"['y_10m', True, 10, 0.01, 'l1']",0.05447941888619855,0.9574468085106383,0.0011973714040333337
25,"['y_10m', True, 10, 0.01, 'l2']",0.050505050505050504,0.9574468085106383,0.0020024311115193253
26,"['y_10m', True, 10, 0.1, 'l1']",0.04961411245865491,0.9574468085106383,0.0001665054276731908
27,"['y_10m', True, 10, 0.1, 'l2']",0.05214368482039398,0.9574468085106383,0.00046966683475119225
28,"['y_10m', True, 10, 1, 'l1']",0.04704704704704705,1.0,5.918368905905327e-05
29,"['y_10m', True, 10, 1, 'l2']",0.0472193074501574,0.9574468085106383,0.00013300705381402597
30,"['y_10m', True, 10, 10, 'l1']",0.047094188376753505,1.0,5.488488982469306e-05
31,"['y_10m', True, 10, 10, 'l2']",0.047094188376753505,1.0,5.882755505228455e-05
32,"['y_10m', True, 10, 100, 'l1']",0.047094188376753505,1.0,5.453932685537449e-05
33,"['y_10m', True, 10, 100, 'l2']",0.047094188376753505,1.0,5.582534798769541e-05
34,"['y_10m', True, 10, 1000, 'l1']",0.047,1.0,5.431970541113322e-05
35,"['y_10m', True, 10, 1000, 'l2']",0.047094188376753505,1.0,5.653096792102494e-05
36,"['y_10m', False, 0, 0.01, 'l1']",0.046906187624750496,1.0,0.0009361709786240367
37,"['y_10m', False, 0, 0.01, 'l2']",0.04695304695304695,1.0,0.0038193281540648515
38,"['y_10m', False, 0, 0.1, 'l1']",0.04695304695304695,1.0,3.1264930476410924e-09
39,"['y_10m', False, 0, 0.1, 'l2']",0.04695304695304695,1.0,2.360288612104662e-06
40,"['y_10m', False, 0, 1, 'l1']",0.04695304695304695,1.0,1.6165935146752423e-11
41,"['y_10m', False, 0, 1, 'l2']",0.04695304695304695,1.0,4.0011150974321236e-10
42,"['y_10m', False, 0, 10, 'l1']",0.047,1.0,7.392079440220098e-12
43,"['y_10m', False, 0, 10, 'l2']",0.047,1.0,1.2915102993778936e-11
44,"['y_10m', False, 0, 100, 'l1']",0.047,1.0,6.925785024693408e-12
45,"['y_10m', False, 0, 100, 'l2']",0.047,1.0,7.35635799531861e-12
46,"['y_10m', False, 0, 1000, 'l1']",0.047,1.0,6.8263374996001975e-12
47,"['y_10m', False, 0, 1000, 'l2']",0.047,1.0,6.9251535821024356e-12
48,"['y_10m', False, 1, 0.01, 'l1']",0.046906187624750496,1.0,5.2341045119713515e-06
49,"['y_10m', False, 1, 0.01, 'l2']",0.04695304695304695,1.0,0.00031883582268197523
50,"['y_10m', False, 1, 0.1, 'l1']",0.046906187624750496,1.0,1.4670385030373903e-11
51,"['y_10m', False, 1, 0.1, 'l2']",0.046906187624750496,1.0,2.4600224739167878e-08
52,"['y_10m', False, 1, 1, 'l1']",0.046906187624750496,1.0,7.50681388604594e-13
53,"['y_10m', False, 1, 1, 'l2']",0.046906187624750496,1.0,5.8930463435944944e-12
54,"['y_10m', False, 1, 10, 'l1']",0.046906187624750496,1.0,5.0820153544614e-13
55,"['y_10m', False, 1, 10, 'l2']",0.046906187624750496,1.0,6.450353952106786e-13
56,"['y_10m', False, 1, 100, 'l1']",0.046906187624750496,1.0,4.823306950404842e-13
57,"['y_10m', False, 1, 100, 'l2']",0.046906187624750496,1.0,4.926369317619008e-13
58,"['y_10m', False, 1, 1000, 'l1']",0.046906187624750496,1.0,4.799585986045408e-13
59,"['y_10m', False, 1, 1000, 'l2']",0.046906187624750496,1.0,4.792203331692118e-13
60,"['y_10m', False, 10, 0.01, 'l1']",0.046906187624750496,1.0,5.353247384235108e-10
61,"['y_10m', False, 10, 0.01, 'l2']",0.04695304695304695,1.0,3.465757648901555e-06
62,"['y_10m', False, 10, 0.1, 'l1']",0.04695304695304695,1.0,2.891250447191246e-13
63,"['y_10m', False, 10, 0.1, 'l2']",0.04695304695304695,1.0,6.754200174313445e-11
64,"['y_10m', False, 10, 1, 'l1']",0.04695304695304695,1.0,9.037957746016711e-14
65,"['y_10m', False, 10, 1, 'l2']",0.04695304695304695,1.0,2.324543550612005e-13
66,"['y_10m', False, 10, 10, 'l1']",0.04695304695304695,1.0,7.965838936262312e-14
