,specs,mp,mr,mt
0,"['y_60m', True, 0, 0.01, 'l1']",0.050793650793650794,1.0,0.015227058245934386
1,"['y_60m', True, 0, 0.01, 'l2']",0.05189189189189189,1.0,0.025216572857893447
2,"['y_60m', True, 0, 0.1, 'l1']",0.05194805194805195,1.0,0.023696041756965266
3,"['y_60m', True, 0, 0.1, 'l2']",0.05200433369447454,1.0,0.021085933488341355
4,"['y_60m', True, 0, 1, 'l1']",0.052106430155210645,0.9791666666666666,0.05041948894949768
5,"['y_60m', True, 0, 1, 'l2']",0.052106430155210645,0.9791666666666666,0.0486665794259219
6,"['y_60m', True, 0, 10, 'l1']",0.052106430155210645,0.9791666666666666,0.05262385568079131
7,"['y_60m', True, 0, 10, 'l2']",0.05216426193118757,0.9791666666666666,0.052331836696700704
8,"['y_60m', True, 0, 100, 'l1']",0.05216426193118757,0.9791666666666666,0.053304552710724214
9,"['y_60m', True, 0, 100, 'l2']",0.05251396648044693,0.9791666666666666,0.05053365766688192
10,"['y_60m', True, 0, 1000, 'l1']",0.052338530066815145,0.9791666666666666,0.05250770434977318
11,"['y_60m', True, 0, 1000, 'l2']",0.05263157894736842,0.9791666666666666,0.04685751924945736
12,"['y_60m', True, 1, 0.01, 'l1']",0.04994797086368366,1.0,0.007518024462662789
13,"['y_60m', True, 1, 0.01, 'l2']",0.05036726128016789,1.0,0.021852007204796273
14,"['y_60m', True, 1, 0.1, 'l1']",0.04979253112033195,1.0,0.019447027055342504
15,"['y_60m', True, 1, 0.1, 'l2']",0.049689440993788817,1.0,0.019612533920705274
16,"['y_60m', True, 1, 1, 'l1']",0.04963805584281282,1.0,0.022522816348702943
17,"['y_60m', True, 1, 1, 'l2']",0.04963805584281282,1.0,0.02278345180591789
18,"['y_60m', True, 1, 10, 'l1']",0.049586776859504134,1.0,0.02371433208990085
19,"['y_60m', True, 1, 10, 'l2']",0.049586776859504134,1.0,0.023703313420796228
20,"['y_60m', True, 1, 100, 'l1']",0.049586776859504134,1.0,0.023767607700630966
21,"['y_60m', True, 1, 100, 'l2']",0.049586776859504134,1.0,0.023284561895463844
22,"['y_60m', True, 1, 1000, 'l1']",0.049586776859504134,1.0,0.023596216564240876
23,"['y_60m', True, 1, 1000, 'l2']",0.049586776859504134,1.0,0.023206988570349054
24,"['y_60m', True, 10, 0.01, 'l1']",0.04963805584281282,1.0,0.011643054544119154
25,"['y_60m', True, 10, 0.01, 'l2']",0.04979253112033195,1.0,0.013439574795188931
26,"['y_60m', True, 10, 0.1, 'l1']",0.049740932642487044,1.0,0.01421403812844686
27,"['y_60m', True, 10, 0.1, 'l2']",0.049740932642487044,1.0,0.014475012776722515
28,"['y_60m', True, 10, 1, 'l1']",0.049689440993788817,1.0,0.014880485035320417
29,"['y_60m', True, 10, 1, 'l2']",0.04963805584281282,1.0,0.01483164066599983
30,"['y_60m', True, 10, 10, 'l1']",0.04963805584281282,1.0,0.01470104852092974
31,"['y_60m', True, 10, 10, 'l2']",0.04963805584281282,1.0,0.01455049631646976
32,"['y_60m', True, 10, 100, 'l1']",0.04963805584281282,1.0,0.014675732779942947
33,"['y_60m', True, 10, 100, 'l2']",0.049586776859504134,1.0,0.014455265302326515
34,"['y_60m', True, 10, 1000, 'l1']",0.04963805584281282,1.0,0.014642428477470486
35,"['y_60m', True, 10, 1000, 'l2']",0.049586776859504134,1.0,0.014429759396522909
36,"['y_60m', False, 0, 0.01, 'l1']",0.050156739811912224,1.0,0.02631762403322341
37,"['y_60m', False, 0, 0.01, 'l2']",0.0502092050209205,1.0,0.03865248013450583
38,"['y_60m', False, 0, 0.1, 'l1']",0.049740932642487044,1.0,0.006734824617173963
39,"['y_60m', False, 0, 0.1, 'l2']",0.049740932642487044,1.0,0.007983384386450491
40,"['y_60m', False, 0, 1, 'l1']",0.04979253112033195,1.0,0.005187039037584316
41,"['y_60m', False, 0, 1, 'l2']",0.04979253112033195,1.0,0.00538153704857777
42,"['y_60m', False, 0, 10, 'l1']",0.0498960498960499,1.0,0.005163977192606612
43,"['y_60m', False, 0, 10, 'l2']",0.0498960498960499,1.0,0.005407021643497994
44,"['y_60m', False, 0, 100, 'l1']",0.0498960498960499,1.0,0.004995205738036044
45,"['y_60m', False, 0, 100, 'l2']",0.0498960498960499,1.0,0.004994695990996031
46,"['y_60m', False, 0, 1000, 'l1']",0.0498960498960499,1.0,0.004974273735551091
47,"['y_60m', False, 0, 1000, 'l2']",0.04984423676012461,1.0,0.004945186012810733
48,"['y_60m', False, 1, 0.01, 'l1']",0.05010438413361169,1.0,0.007429043546451054
49,"['y_60m', False, 1, 0.01, 'l2']",0.0505795574288725,1.0,0.016299479169463914
50,"['y_60m', False, 1, 0.1, 'l1']",0.05052631578947368,1.0,0.0034966711618232642
51,"['y_60m', False, 1, 0.1, 'l2']",0.050473186119873815,1.0,0.004449604774576311
52,"['y_60m', False, 1, 1, 'l1']",0.050473186119873815,1.0,0.0032985704780226816
53,"['y_60m', False, 1, 1, 'l2']",0.050473186119873815,1.0,0.003347812018762677
54,"['y_60m', False, 1, 10, 'l1']",0.050473186119873815,1.0,0.0032371282706444306
55,"['y_60m', False, 1, 10, 'l2']",0.050473186119873815,1.0,0.00321505425745736
56,"['y_60m', False, 1, 100, 'l1']",0.050473186119873815,1.0,0.003205164712450174
57,"['y_60m', False, 1, 100, 'l2']",0.050473186119873815,1.0,0.003199396470745752
58,"['y_60m', False, 1, 1000, 'l1']",0.050473186119873815,1.0,0.0032025527374164534
59,"['y_60m', False, 1, 1000, 'l2']",0.050473186119873815,1.0,0.0031977843753209236
60,"['y_60m', False, 10, 0.01, 'l1']",0.0498960498960499,1.0,0.00100873728193953
