,specs,mp,mr,mt
0,"['y_45m', True, 0, 0.01, 'l1']",0.5931372549019608,0.9502617801047121,0.30523434094204893
1,"['y_45m', True, 0, 0.01, 'l2']",0.5941080196399345,0.9502617801047121,0.23865587876620284
2,"['y_45m', True, 0, 0.1, 'l1']",0.6302083333333334,0.9502617801047121,0.3057523767316683
3,"['y_45m', True, 0, 0.1, 'l2']",0.6009933774834437,0.9502617801047121,0.34849570924244033
4,"['y_45m', True, 0, 1, 'l1']",0.559322033898305,0.9502617801047121,0.4653994993032671
5,"['y_45m', True, 0, 1, 'l2']",0.5525114155251142,0.9502617801047121,0.46751041684811095
6,"['y_45m', True, 0, 10, 'l1']",0.5426008968609866,0.9502617801047121,0.49812250217998605
7,"['y_45m', True, 0, 10, 'l2']",0.5393759286775631,0.9502617801047121,0.4885654594725835
8,"['y_45m', True, 0, 100, 'l1']",0.5385756676557863,0.9502617801047121,0.5014057330134627
9,"['y_45m', True, 0, 100, 'l2']",0.5353982300884956,0.9502617801047121,0.4998248942391084
10,"['y_45m', True, 0, 1000, 'l1']",0.5361890694239291,0.9502617801047121,0.5012622583144332
11,"['y_45m', True, 0, 1000, 'l2']",0.5338235294117647,0.9502617801047121,0.49743323403256356
12,"['y_45m', True, 1, 0.01, 'l1']",0.5475113122171946,0.9502617801047121,0.1781345753337369
13,"['y_45m', True, 1, 0.01, 'l2']",0.5466867469879518,0.9502617801047121,0.15487119971959165
14,"['y_45m', True, 1, 0.1, 'l1']",0.5576036866359447,0.9502617801047121,0.13989476552173152
15,"['y_45m', True, 1, 0.1, 'l2']",0.55,0.9502617801047121,0.1540221481213154
16,"['y_45m', True, 1, 1, 'l1']",0.5508345978755691,0.9502617801047121,0.16703549898833686
17,"['y_45m', True, 1, 1, 'l2']",0.5533536585365854,0.9502617801047121,0.17302349039348902
18,"['y_45m', True, 1, 10, 'l1']",0.5516717325227963,0.9502617801047121,0.18010113721744267
19,"['y_45m', True, 1, 10, 'l2']",0.5525114155251142,0.9502617801047121,0.18023008895706158
20,"['y_45m', True, 1, 100, 'l1']",0.5466867469879518,0.9502617801047121,0.17834044781564082
21,"['y_45m', True, 1, 100, 'l2']",0.5458646616541354,0.9502617801047121,0.1779609220043873
