,specs,mp,mr,mt
0,"['y_15m', True, 0, 0.01, 'l1']",0.6756272401433692,0.952020202020202,0.3831537748871247
1,"['y_15m', True, 0, 0.01, 'l2']",0.6720142602495544,0.952020202020202,0.25549031523175675
2,"['y_15m', True, 0, 0.1, 'l1']",0.736328125,0.952020202020202,0.229545619983136
3,"['y_15m', True, 0, 0.1, 'l2']",0.6968576709796673,0.952020202020202,0.232972424978955
4,"['y_15m', True, 0, 1, 'l1']",0.7232824427480916,0.9570707070707071,0.31557184080283335
5,"['y_15m', True, 0, 1, 'l2']",0.715370018975332,0.952020202020202,0.2823702449067859
6,"['y_15m', True, 0, 10, 'l1']",0.7059925093632958,0.952020202020202,0.2971761231568362
7,"['y_15m', True, 0, 10, 'l2']",0.7099811676082862,0.952020202020202,0.29866430521403337
8,"['y_15m', True, 0, 100, 'l1']",0.7039106145251397,0.9545454545454546,0.2887645242822743
9,"['y_15m', True, 0, 100, 'l2']",0.7033582089552238,0.952020202020202,0.288218852856121
10,"['y_15m', True, 0, 1000, 'l1']",0.7046728971962617,0.952020202020202,0.29917327866642507
11,"['y_15m', True, 0, 1000, 'l2']",0.7039106145251397,0.9545454545454546,0.29091524076212316
12,"['y_15m', True, 1, 0.01, 'l1']",0.647766323024055,0.952020202020202,0.2237941005754331
13,"['y_15m', True, 1, 0.01, 'l2']",0.6522491349480969,0.952020202020202,0.22670909190013727
14,"['y_15m', True, 1, 0.1, 'l1']",0.7194656488549618,0.952020202020202,0.1833826313801307
15,"['y_15m', True, 1, 0.1, 'l2']",0.691743119266055,0.952020202020202,0.19896642396677536
16,"['y_15m', True, 1, 1, 'l1']",0.7180952380952381,0.952020202020202,0.2108863933969619
17,"['y_15m', True, 1, 1, 'l2']",0.7186311787072244,0.9545454545454546,0.22541318501595703
18,"['y_15m', True, 1, 10, 'l1']",0.725,0.952020202020202,0.24321684086263473
19,"['y_15m', True, 1, 10, 'l2']",0.7263969171483622,0.952020202020202,0.24335273329381776
