,station_id,status,target,mp,mr,mt
0,128,empty,y_30m,err,err,err
1,128,full,y_30m,err,err,err
2,128,empty,y_60m,0.11940298507462686,1.0,0.2836886135272446
3,128,full,y_60m,0.25,0.952,0.0828722164869029
4,151,empty,y_30m,err,err,err
5,151,full,y_30m,err,err,err
6,151,empty,y_60m,0.40229885057471265,0.958904109589041,0.037076719538910695
7,151,full,y_60m,0.30422535211267604,0.9557522123893806,0.13050718343829926
8,161,empty,y_30m,err,err,err
9,161,full,y_30m,err,err,err
10,161,empty,y_60m,0.08333333333333333,1.0,0.016410812871675916
11,161,full,y_60m,0.6904024767801857,0.9612068965517241,0.3820073139729241
12,174,empty,y_30m,err,err,err
13,174,full,y_30m,err,err,err
14,174,empty,y_60m,0.19430051813471502,0.9615384615384616,0.04182468901529625
15,174,full,y_60m,0.42857142857142855,1.0,0.34977657295220105
16,229,empty,y_30m,err,err,err
17,229,full,y_30m,err,err,err
18,229,empty,y_60m,0.001996007984031936,1.0,7.191360821375772e-05
19,229,full,y_60m,0.4148471615720524,0.95,0.31013528222942083
20,284,empty,y_30m,err,err,err
21,284,full,y_30m,err,err,err
22,284,empty,y_60m,0.25925925925925924,1.0,0.0002785437049898088
23,284,full,y_60m,0.3952991452991453,0.9536082474226805,0.24747869245809762
24,285,empty,y_30m,err,err,err
25,285,full,y_30m,err,err,err
26,285,empty,y_60m,0.0,,0.24679560958991442
27,285,full,y_60m,0.5585585585585585,0.9514066496163683,0.2566662565437624
28,297,empty,y_30m,err,err,err
29,297,full,y_30m,err,err,err
30,297,empty,y_60m,0.14634146341463414,1.0,0.06855933679704475
31,297,full,y_60m,0.3884514435695538,0.961038961038961,0.1261366954336422
32,3002,empty,y_30m,err,err,err
33,3002,full,y_30m,err,err,err
34,3002,empty,y_60m,0.0,,0.36703813943059516
35,3002,full,y_60m,0.3008658008658009,0.9586206896551724,0.08406177212535992
36,3141,empty,y_30m,err,err,err
37,3141,full,y_30m,err,err,err
38,3141,empty,y_60m,0.7348484848484849,0.9509803921568627,0.195919665199909
39,3141,full,y_60m,0.9310344827586207,0.9529411764705882,0.41595558121265375
40,320,empty,y_30m,err,err,err
41,320,full,y_30m,err,err,err
42,320,empty,y_60m,0.802547770700637,0.9509433962264151,0.09806609243530884
43,320,full,y_60m,0.38902147971360385,0.9532163742690059,0.11324157521744001
44,3263,empty,y_30m,err,err,err
45,3263,full,y_30m,err,err,err
46,3263,empty,y_60m,0.034375,1.0,7.068533241559644e-05
47,3263,full,y_60m,0.24423076923076922,0.9548872180451128,0.14959413632543622
48,368,empty,y_30m,err,err,err
49,368,full,y_30m,err,err,err
50,368,empty,y_60m,0.01282051282051282,1.0,0.015858057742810763
51,368,full,y_60m,0.4482758620689655,0.9578947368421052,0.19601204949830695
52,382,empty,y_30m,err,err,err
53,382,full,y_30m,err,err,err
54,382,empty,y_60m,0.009146341463414634,1.0,1.0080773268760552e-33
55,382,full,y_60m,0.7535641547861507,0.9536082474226805,0.3248806932635365
56,383,empty,y_30m,err,err,err
57,383,full,y_30m,err,err,err
58,383,empty,y_60m,0.0,,0.8664520934101981
59,383,full,y_60m,0.4928571428571429,0.9517241379310345,0.1414961925230835
60,402,empty,y_30m,err,err,err
61,402,full,y_30m,err,err,err
62,402,empty,y_60m,0.3179916317991632,0.9559748427672956,0.35025406900563716
63,402,full,y_60m,0.6,0.972972972972973,0.47887432206553926
64,426,empty,y_30m,err,err,err
65,426,full,y_30m,err,err,err
66,426,empty,y_60m,0.375,1.0,0.5412193649010542
67,426,full,y_60m,0.5,0.9534883720930233,0.22957477735336584
68,432,empty,y_30m,err,err,err
69,432,full,y_30m,err,err,err
70,432,empty,y_60m,0.38935574229691877,0.952054794520548,0.08817421993642686
71,432,full,y_60m,0.16911764705882354,0.9583333333333334,0.11756035177816317
72,435,empty,y_30m,err,err,err
73,435,full,y_30m,err,err,err
74,435,empty,y_60m,0.3709677419354839,0.968421052631579,0.08019785544993985
75,435,full,y_60m,0.5449591280653951,0.9569377990430622,0.3117675920249735
76,444,empty,y_30m,err,err,err
77,444,full,y_30m,err,err,err
78,444,empty,y_60m,0.37362637362637363,0.9714285714285714,0.5337364360173334
79,444,full,y_60m,0.6459627329192547,0.9541284403669725,0.2753561527766881
80,461,empty,y_30m,err,err,err
81,461,full,y_30m,err,err,err
82,461,empty,y_60m,0.31010452961672474,0.956989247311828,0.06200292839041484
