,specs,mp,mr,mt
0,"['y_30m', True, 0, 0.01, 'l1']",0.6513274336283186,0.9509043927648578,0.3844551229107972
1,"['y_30m', True, 0, 0.01, 'l2']",0.6490299823633157,0.9509043927648578,0.2941534905567631
2,"['y_30m', True, 0, 0.1, 'l1']",0.673992673992674,0.9509043927648578,0.2823181797979687
3,"['y_30m', True, 0, 0.1, 'l2']",0.6594982078853047,0.9509043927648578,0.3185879124749325
4,"['y_30m', True, 0, 1, 'l1']",0.6355785837651122,0.9509043927648578,0.3347184233644284
5,"['y_30m', True, 0, 1, 'l2']",0.6377816291161178,0.9509043927648578,0.3413768576170689
6,"['y_30m', True, 0, 10, 'l1']",0.6247877758913413,0.9509043927648578,0.3568360520602334
7,"['y_30m', True, 0, 10, 'l2']",0.6174496644295302,0.9509043927648578,0.35773246340280684
8,"['y_30m', True, 0, 100, 'l1']",0.6184873949579832,0.9509043927648578,0.3614777779146342
9,"['y_30m', True, 0, 100, 'l2']",0.6222596964586846,0.9534883720930233,0.36206960752531225
10,"['y_30m', True, 0, 1000, 'l1']",0.6164154103852596,0.9509043927648578,0.3619389002028088
11,"['y_30m', True, 0, 1000, 'l2']",0.6218487394957983,0.9560723514211886,0.35465212456460576
12,"['y_30m', True, 1, 0.01, 'l1']",0.6062602965403624,0.9509043927648578,0.26707808989289056
13,"['y_30m', True, 1, 0.01, 'l2']",0.5983739837398374,0.9509043927648578,0.21796476957524014
14,"['y_30m', True, 1, 0.1, 'l1']",0.6049180327868853,0.9534883720930233,0.1637521928140375
15,"['y_30m', True, 1, 0.1, 'l2']",0.5974025974025974,0.9509043927648578,0.18139540512067182
16,"['y_30m', True, 1, 1, 'l1']",0.599025974025974,0.9534883720930233,0.16673708634005527
17,"['y_30m', True, 1, 1, 'l2']",0.5954692556634305,0.9509043927648578,0.16567035415544037
18,"['y_30m', True, 1, 10, 'l1']",0.5925925925925926,0.9509043927648578,0.15950674749724617
19,"['y_30m', True, 1, 10, 'l2']",0.5925925925925926,0.9509043927648578,0.15951520407351666
20,"['y_30m', True, 1, 100, 'l1']",0.5916398713826366,0.9509043927648578,0.1581528677648512
21,"['y_30m', True, 1, 100, 'l2']",0.5897435897435898,0.9509043927648578,0.1592575982878752
22,"['y_30m', True, 1, 1000, 'l1']",0.5916398713826366,0.9509043927648578,0.1584959145041649
23,"['y_30m', True, 1, 1000, 'l2']",0.5906902086677368,0.9509043927648578,0.15955373475279855
24,"['y_30m', True, 10, 0.01, 'l1']",0.6411149825783972,0.9509043927648578,0.16999242933859735
25,"['y_30m', True, 10, 0.01, 'l2']",0.6029411764705882,0.9534883720930233,0.13125525518494136
26,"['y_30m', True, 10, 0.1, 'l1']",0.6444833625218914,0.9509043927648578,0.19013421749954357
27,"['y_30m', True, 10, 0.1, 'l2']",0.6411149825783972,0.9509043927648578,0.19829841228726305
28,"['y_30m', True, 10, 1, 'l1']",0.6323024054982818,0.9509043927648578,0.1872838442316834
29,"['y_30m', True, 10, 1, 'l2']",0.6323024054982818,0.9509043927648578,0.18990174602903934
30,"['y_30m', True, 10, 10, 'l1']",0.6312178387650086,0.9509043927648578,0.1891668814724351
31,"['y_30m', True, 10, 10, 'l2']",0.6301369863013698,0.9509043927648578,0.18982649763419823
32,"['y_30m', True, 10, 100, 'l1']",0.6312178387650086,0.9509043927648578,0.18944211045930465
33,"['y_30m', True, 10, 100, 'l2']",0.6301369863013698,0.9509043927648578,0.1902639206206401
34,"['y_30m', True, 10, 1000, 'l1']",0.6323024054982818,0.9509043927648578,0.18883661576619015
35,"['y_30m', True, 10, 1000, 'l2']",0.6301369863013698,0.9509043927648578,0.19024029546049787
36,"['y_30m', False, 0, 0.01, 'l1']",0.6388888888888888,0.9509043927648578,0.3961274088975066
37,"['y_30m', False, 0, 0.01, 'l2']",0.6777163904235728,0.9509043927648578,0.46212510859128436
38,"['y_30m', False, 0, 0.1, 'l1']",0.6666666666666666,0.9509043927648578,0.30155860105082416
39,"['y_30m', False, 0, 0.1, 'l2']",0.7104247104247104,0.9509043927648578,0.37924935462354464
40,"['y_30m', False, 0, 1, 'l1']",0.6943396226415094,0.9509043927648578,0.2919086156708527
41,"['y_30m', False, 0, 1, 'l2']",0.7049808429118773,0.9509043927648578,0.3086318758291504
42,"['y_30m', False, 0, 10, 'l1']",0.6930320150659134,0.9509043927648578,0.27160691660587494
43,"['y_30m', False, 0, 10, 'l2']",0.6956521739130435,0.9509043927648578,0.2854774781410391
44,"['y_30m', False, 0, 100, 'l1']",0.6865671641791045,0.9509043927648578,0.2626029248317056
45,"['y_30m', False, 0, 100, 'l2']",0.6865671641791045,0.9509043927648578,0.26240435415576396
46,"['y_30m', False, 0, 1000, 'l1']",0.6865671641791045,0.9509043927648578,0.2622694008907889
47,"['y_30m', False, 0, 1000, 'l2']",0.6852886405959032,0.9509043927648578,0.2586670693085103
48,"['y_30m', False, 1, 0.01, 'l1']",0.6201680672268908,0.9534883720930233,0.2927897090599331
49,"['y_30m', False, 1, 0.01, 'l2']",0.6388888888888888,0.9509043927648578,0.41423047058452844
50,"['y_30m', False, 1, 0.1, 'l1']",0.6042692939244664,0.9509043927648578,0.16881155206960274
51,"['y_30m', False, 1, 0.1, 'l2']",0.6164154103852596,0.9509043927648578,0.23949625713338285
52,"['y_30m', False, 1, 1, 'l1']",0.6082644628099173,0.9509043927648578,0.16886139223935454
53,"['y_30m', False, 1, 1, 'l2']",0.6109271523178808,0.9534883720930233,0.17539795942029712
54,"['y_30m', False, 1, 10, 'l1']",0.6102819237147595,0.9509043927648578,0.16943460337032462
55,"['y_30m', False, 1, 10, 'l2']",0.6102819237147595,0.9509043927648578,0.17087758894123203
56,"['y_30m', False, 1, 100, 'l1']",0.6102819237147595,0.9509043927648578,0.1693478590782757
57,"['y_30m', False, 1, 100, 'l2']",0.6102819237147595,0.9509043927648578,0.1705749074989235
58,"['y_30m', False, 1, 1000, 'l1']",0.6102819237147595,0.9509043927648578,0.17020927743450076
59,"['y_30m', False, 1, 1000, 'l2']",0.6102819237147595,0.9509043927648578,0.170544551939825
60,"['y_30m', False, 10, 0.01, 'l1']",0.6333907056798623,0.9509043927648578,0.19717182759196647
61,"['y_30m', False, 10, 0.01, 'l2']",0.626916524701874,0.9509043927648578,0.26811440038190093
62,"['y_30m', False, 10, 0.1, 'l1']",0.626916524701874,0.9509043927648578,0.15045581562620727
63,"['y_30m', False, 10, 0.1, 'l2']",0.6279863481228669,0.9509043927648578,0.16476312577303381
64,"['y_30m', False, 10, 1, 'l1']",0.6258503401360545,0.9509043927648578,0.14569274322363385
65,"['y_30m', False, 10, 1, 'l2']",0.6254237288135593,0.9534883720930233,0.14634103922672706
66,"['y_30m', False, 10, 10, 'l1']",0.6279863481228669,0.9509043927648578,0.147563610712938
67,"['y_30m', False, 10, 10, 'l2']",0.6279863481228669,0.9509043927648578,0.1483147660709468
68,"['y_30m', False, 10, 100, 'l1']",0.6279863481228669,0.9509043927648578,0.14788785373454252
69,"['y_30m', False, 10, 100, 'l2']",0.6279863481228669,0.9509043927648578,0.14839421552902607
70,"['y_30m', False, 10, 1000, 'l1']",0.6279863481228669,0.9509043927648578,0.14795030958865668
71,"['y_30m', False, 10, 1000, 'l2']",0.6279863481228669,0.9509043927648578,0.14840291060132313
