,specs,mp,mr,mt
0,"['y_15m', True, 0, 0.01, 'l1']",0.04742684157416751,1.0,0.002195894357532362
1,"['y_15m', True, 0, 0.01, 'l2']",0.05059203444564048,1.0,0.007995165266241956
2,"['y_15m', True, 0, 0.1, 'l1']",0.04936974789915966,1.0,0.0009559024021065327
3,"['y_15m', True, 0, 0.1, 'l2']",0.05026737967914439,1.0,0.0011192938070844487
4,"['y_15m', True, 0, 1, 'l1']",0.04931794333683106,1.0,0.0002770931109273251
5,"['y_15m', True, 0, 1, 'l2']",0.05016008537886873,1.0,0.0005931169504989542
6,"['y_15m', True, 0, 10, 'l1']",0.04855371900826446,1.0,0.00013952529530885296
7,"['y_15m', True, 0, 10, 'l2']",0.04880581516095535,1.0,0.0002081908062143123
8,"['y_15m', True, 0, 100, 'l1']",0.04835390946502058,1.0,0.0001239059716573001
9,"['y_15m', True, 0, 100, 'l2']",0.04835390946502058,1.0,0.00012644337358473404
10,"['y_15m', True, 0, 1000, 'l1']",0.048254620123203286,1.0,0.00011914007292048192
11,"['y_15m', True, 0, 1000, 'l2']",0.048304213771839674,1.0,0.00011683366887051076
12,"['y_15m', True, 1, 0.01, 'l1']",0.047522750252780584,1.0,0.0014968988494506376
13,"['y_15m', True, 1, 0.01, 'l2']",0.048304213771839674,1.0,0.00660536185958727
14,"['y_15m', True, 1, 0.1, 'l1']",0.047619047619047616,1.0,0.0005223277694595777
15,"['y_15m', True, 1, 0.1, 'l2']",0.04742684157416751,1.0,0.0011666576191168305
16,"['y_15m', True, 1, 1, 'l1']",0.04742684157416751,1.0,0.00022428415360160772
17,"['y_15m', True, 1, 1, 'l2']",0.047379032258064516,1.0,0.00037875349570537585
18,"['y_15m', True, 1, 10, 'l1']",0.0473313192346425,1.0,0.0001995918078765368
19,"['y_15m', True, 1, 10, 'l2']",0.0473313192346425,1.0,0.000227126173792455
20,"['y_15m', True, 1, 100, 'l1']",0.0473313192346425,1.0,0.00020520849405604777
21,"['y_15m', True, 1, 100, 'l2']",0.04742684157416751,1.0,0.00022063907037419273
22,"['y_15m', True, 1, 1000, 'l1']",0.0473313192346425,1.0,0.0002093760366876712
23,"['y_15m', True, 1, 1000, 'l2']",0.04742684157416751,1.0,0.00022359528490934676
24,"['y_15m', True, 10, 0.01, 'l1']",0.047379032258064516,1.0,0.0011488217777964973
25,"['y_15m', True, 10, 0.01, 'l2']",0.04893617021276596,0.9787234042553191,0.003133298966796547
